"from","to","Saliency","IntegratedGradients"
"N1","N2","1.0","0.67"
"N1","N6","0.09","0.14"
"N1","N10","0.24","0.43"
"N1","N23","0.1","0.17"
"N10","N14","0.17","0.15"
"N10","N19","0.11","0.13"
"N14","N26","0.09","0.07"
"N14","N30","0.09","0.07"
"N15","N16","0.07","0.18"
"N15","N29","0.07","0.18"
"N17","N25","0.08","0.02"
"N2","N3","0.31","1.0"
"N2","N4","0.23","0.11"
"N2","N5","0.14","0.17"
"N2","N9","0.15","0.08"
"N2","N17","0.14","0.18"
"N2","N21","0.11","0.06"
"N3","N7","0.15","0.27"
"N3","N20","0.06","0.31"
"N3","N27","0.08","0.31"
"N4","N8","0.1","0.08"
"N4","N11","0.09","0.09"
"N4","N12","0.09","0.06"
"N4","N24","0.09","0.08"
"N5","N13","0.08","0.05"
"N7","N15","0.05","0.67"
"N8","N28","0.05","0.03"
"N9","N18","0.08","0.08"
"N9","N22","0.08","0.07"
