"label","node_feature_name","GNNExplainer"
"N1","0.00989054795354605","0.14"
"N2","0.189297825098038","0.13"
"N3","-1.01436197757721","0.15"
"N4","-0.0599401369690895","0.15"
"N5","0.0152412056922913","0.15"
"N6","-0.0601274482905865","0.14"
"N7","-1.01436197757721","0.13"
"N8","-0.0244242381304502","0.13"
"N9","0.111436039209366","0.14"
"N10","0.0574872530996799","0.14"
"N11","0.0964611917734146","0.15"
"N12","0.129151821136475","0.14"
"N13","-0.0313432775437832","0.13"
"N14","-0.0415155366063118","0.13"
"N15","-0.150757193565369","0.15"
"N16","-0.290290623903275","0.12"
"N17","-0.117996521294117","0.15"
"N18","0.120581544935703","0.15"
"N19","0.0724084749817848","0.15"
"N20","-0.100156225264072","0.14"
"N21","0.0841407552361488","0.15"
"N22","0.014230826869607","0.14"
"N23","-0.183887496590614","0.14"
"N24","0.120679952204227","0.13"
"N25","-0.145460888743401","0.15"
"N26","-0.00240625021979213","0.13"
"N27","0.0557551458477974","0.14"
"N28","0.0788238868117332","0.16"
"N29","-0.0505120418965816","0.14"
"N30","0.225387454032898","0.15"
