"label","node_feature_name","GNNExplainer"
"N1","-0.0755930691957474","0.14"
"N2","0.177132576704025","0.13"
"N3","0.968425989151001","0.14"
"N4","0.00189640035387129","0.14"
"N5","-0.190171167254448","0.15"
"N6","-0.152775794267654","0.14"
"N7","0.968425989151001","0.14"
"N8","0.0123030254617333","0.13"
"N9","-0.152456432580948","0.15"
"N10","-0.0555482171475887","0.13"
"N11","-0.0946934744715691","0.13"
"N12","-0.116863839328289","0.14"
"N13","0.0969642922282219","0.15"
"N14","0.0398530699312687","0.13"
"N15","-0.0306802932173014","0.14"
"N16","0.176489740610123","0.14"
"N17","0.0724698528647423","0.14"
"N18","-0.143969640135765","0.15"
"N19","-0.0611376389861107","0.14"
"N20","-0.0228391904383898","0.13"
"N21","-0.00472450628876686","0.15"
"N22","-0.0646433755755424","0.14"
"N23","0.0220135282725096","0.16"
"N24","0.0278690401464701","0.13"
"N25","-0.0549956038594246","0.15"
"N26","-0.0332084074616432","0.15"
"N27","0.0985362827777863","0.15"
"N28","-0.0195688363164663","0.15"
"N29","-0.0130575066432357","0.12"
"N30","-0.181291222572327","0.14"
