"from","to","Integrated Gradients","Saliency"
"ABAT","ALDH3A1",0,0
"ABCA1","CHD9",0,0
"ABCB4","CHD9",0,0
"ABI1","ITGA4",0,0
"ABL1","ABI1",0,0
"ABL2","WASF2",0,0
"ACACB","PRKAA1",0,0
"ACAN","TNXB",0,0
"ACIN1","SRRM2",0,0
"ACLY","PRKCD",0,0
"ACLY","FASN",0,0
"ACLY","ACO1",0,0
"ACLY","ACACA",0,0
"ACLY","ACACB",0,0
"ACO1","IDH1",0,0
"ACO2","ACLY",0,0
"ACO2","SLC25A13",0,0
"ACO2","HSPD1",0,0
"ACO2","IDH1",0,0
"ACO2","SLC25A12",0,0
"ACOT4","ACOX3",0,0
"ACOX1","JUN",0,0
"ACOX2","ACOX3",0,0
"ACOX3","HSD17B4",0,0
"ACTA1","ACTN3",0,0
"ACTB","POLR1B",0,0
"ACTG1","CYFIP1",0,0
"ACTL6B","ARID1A",0,0
"ACTL6B","BRD7",0,0
"ACTL6B","SMARCC2",0,0
"ACTL6B","SMARCC1",0,0
"ACTL6B","DNMT3A",0,0
"ACTL6B","SMARCA4",0,0
"ACTL6B","SS18",0,0
"ACTL6B","SMARCA2",0,0
"ACTL6B","PRMT5",0,0
"ACTN1","ACTN3",0,0
"ACTN2","GRIN2B",0,0
"ACTN4","ACTN3",0,0
"ACTR1A","SPTBN2",0,0
"ACTR3B","ARPC2",0,0
"ACTR8","EP400",0,0
"ACVR1C","SMAD3",0,0
"ADAM12","ITGB1",0,0
"ADAM15","ITGB1",0,0
"ADAM28","ITGA4",0,0
"ADAMTS5","BCAN",0,0
"ADAR","OAS1",0,0
"ADCY1","PDYN",0,0
"ADCY2","PDYN",0,0
"ADCY3","PDYN",0,0
"ADCY5","PDYN",0,0
"ADCY7","PDYN",0,0
"ADCY9","PDYN",0,0
"ADORA1","OPRM1",0.03,0
"ADRA1A","HRH1",0,0
"AEBP2","BAP1",0,0
"AFF4","SSRP1",0,0
"AGK","AKAP9",0,0
"AGL","MGAM",0,0
"AGRN","PAK4",0,0
"AGT","OPRM1",0.04,0
"AGTR1","AP2B1",0,0
"AKT2","DENND1B",0,0
"AKT3","RPTOR",0,0
"AKT3","DENND1A",0,0
"AKT3","DENND1B",0,0
"AKT3","RPS6KB2",0,0
"ALDH1A3","GAD1",0,0
"ALDH3A2","ACSF3",0,0
"ALDH3A2","ACSS3",0,0
"ALDOA","ESR1",0,0
"ALDOB","PFKP",0,0
"ALK","JAK3",0,0
"AMBN","DMP1",0.09,0
"ANGPTL3","ITGB3",0,0
"ANK1","ITGAM",0,0
"ANK2","SPTBN2",0,0
"ANK3","SPTBN2",0,0
"ANLN","RHOA",0,0
"ANO6","ITGAM",0,0
"ANO6","NELL2",0,0
"AOC2","DDC",0,0
"AOC2","DBH",0,0
"AOC2","ALDH3A1",0,0
"AOC2","ALDH1A3",0,0
"AOC2","ALDH3A2",0,0
"AOX1","ABAT",0,0
"AOX1","SUOX",0,0
"AP1B1","TXNDC5",0,0
"AP1G1","AP2B1",0,0
"AP1G2","AP1B1",0,0
"AP1G2","SYNRG",0,0
"AP2A1","AP2B1",0,0
"AP2A2","AP1B1",0,0
"AP3B1","AP1B1",0,0
"AP4E1","AP1B1",0,0
"AP4M1","AP1G1",0,0
"APBB1IP","BCAR1",0,0
"APC","LRP6",0,0
"APC","ARHGEF4",0,0
"APC","AXIN2",0,0
"APC","ZRANB1",0,0
"APC","SPATA13",0,0
"APEX1","ARNT",0,0
"APEX1","MUTYH",0,0
"APEX1","EPAS1",0,0
"APEX1","NTHL1",0,0
"APEX1","GZMA",0,0
"APEX1","PARP1",0,0
"APLP2","HSP90B1",0,0
"APOA1","HSP90B1",0,0
"APOA1","CHD9",0,0
"APOA1","ABCA1",0,0
"APOA1","NCOA2",0,0
"APOA5","CHD9",0,0
"APOB","ITGAM",0,0
"APOB","GPC6",0,0
"APOB","GPC2",0,0
"APOB","LRP12",0,0
"APOB","LRP8",0,0
"APOB","FGR",0,0
"APP","MAPT",0,0
"AQR","DDX5",0,0
"AQR","HNRNPM",0,0
"AQR","ERCC5",0,0
"AQR","CHERP",0,0
"AQR","PRPF3",0,0
"AQR","PRPF8",0,0
"AQR","PRPF19",0,0
"AQR","SF3B4",0,0
"AQR","RBM5",0,0
"AQR","PRCC",0,0
"AQR","SF3B3",0,0
"AQR","SF3B2",0,0
"AQR","CWC22",0,0
"AQR","WDR33",0,0
"AQR","DDX46",0,0
"AQR","DHX8",0,0
"AQR","HNRNPL",0,0
"AQR","POLE",0,0
"AQR","PRPF4",0,0
"AQR","USP7",0,0
"AQR","CPSF3",0,0
"AQR","DHX38",0,0
"AQR","SYMPK",0,0
"AQR","SNRPN",0,0
"AQR","ERCC2",0,0
"AQR","CDK7",0,0
"AQR","LIG3",0,0
"AQR","TFIP11",0,0
"AQR","CASC3",0,0
"AQR","PRPF6",0,0
"AQR","CTNNBL1",0,0
"AQR","HNRNPA2B1",0,0
"AQR","PAPOLA",0,0
"AQR","CPSF1",0,0
"AQR","BCAS2",0,0
"AQR","EFTUD2",0,0
"AQR","WBP11",0,0
"AQR","PCBP2",0,0
"AQR","CDC40",0,0
"AQR","LIG1",0,0
"AQR","PTBP1",0,0
"AQR","POLD1",0,0
"AQR","SNRNP200",0,0
"AQR","XRCC1",0,0
"AQR","RFC4",0,0
"AQR","RFC1",0,0
"AQR","DDX23",0,0
"AQR","HNRNPUL1",0,0
"AQR","ELAVL1",0,0
"AQR","SART1",0,0
"AQR","FUS",0,0
"AQR","ERCC3",0,0
"AQR","DDX42",0,0
"AQR","HNRNPU",0,0
"AQR","XAB2",0,0
"AQR","CSTF3",0,0
"AQR","TCEA1",0,0
"AQR","ELL",0,0
"AQR","CRNKL1",0,0
"AQR","ERCC4",0,0
"AQR","SRRM2",0,0
"AQR","POLR2A",0,0
"AQR","DHX15",0,0
"ARAP1","RHOA",0,0
"ARAP2","RHOT1",0,0
"ARHGAP12","RHOA",0,0
"ARHGAP21","RHOA",0,0
"ARHGAP29","RHOA",0,0
"ARHGAP30","RHOA",0,0
"ARHGAP5","RHOA",0,0
"ARHGAP9","RHOA",0,0
"ARHGEF1","RHOT1",0,0
"ARHGEF10L","RHOA",0,0
"ARHGEF11","RHOA",0,0
"ARHGEF12","PLXNB2",0,0
"ARHGEF15","RHOA",0,0
"ARHGEF17","RHOA",0,0
"ARHGEF4","RHOA",0,0
"ARHGEF5","RHOA",0,0
"ARHGEF5","ARHGAP5",0,0
"ARID1A","JUN",0,0
"ARID4A","HIST2H2BE",0,0
"ARNT","JUN",0,0
"ARNT","ASPH",0,0
"ARPC2","SYNJ2",0,0
"ARPC2","MYO10",0,0
"ARSB","PRKCD",0,0
"ASXL1","UBC",0,0
"ASXL1","MBD5",0,0
"ATF2","JUN",0,0
"ATF2","CREB5",0,0
"ATN1","JUN",0,0
"ATP11A","ITGAM",0,0
"ATP12A","ATP1B1",0,0
"ATP1B1","ATP2A2",0,0
"ATP1B1","ATP1A1",0,0
"ATP6V1A","INSR",0.01,0.03
"ATP8A1","ITGAM",0,0
"ATP8B4","ITGAM",0,0
"AXIN1","PSMD4",0,0
"AXIN2","PSMD4",0,0
"AXL","VAV3",0,0
"B3GNT5","MUC7",0,0
"BAAT","ACOX3",0,0
"BAAT","SLC27A5",0,0
"BACH1","BRCA1",0,0
"BAK1","BCL2L11",0,0
"BAP1","UBC",0,0
"BAZ1A","CDC5L",0,0
"BAZ1B","POLR1B",0,0
"BCAN","TNR",0,0
"BCAR1","ACTN3",0,0
"BCAS2","CHERP",0,0
"BCL2L11","KSR2",0,0
"BCL6","CD19",0,0
"BCL9","HIST1H3F",0,0
"BCL9","BCL9L",0,0
"BCL9","TLE1",0,0
"BCL9","TLE3",0,0
"BCL9","TLE2",0,0
"BCL9","HIST1H3B",0,0
"BCL9","HIST1H3G",0,0
"BCL9L","HIST2H2BE",0,0
"BCR","SYK",0,0
"BCR","SH3BP5",0,0
"BDKRB2","ADRA2B",0,0
"BICD2","ACTR1A",0,0
"BIRC3","TAX1BP1",0,0
"BIRC3","APAF1",0,0
"BLK","ZAP70",0,0
"BLK","PTPN13",0,0
"BLK","EPHA7",0,0
"BLK","EPHA1",0,0
"BLK","NGEF",0,0
"BLK","TRPV6",0,0
"BLK","EPHA2",0,0
"BLK","PAX5",0,0
"BLM","RAD54L",0,0
"BMP1","LAMA3",0,0
"BMS1","TBL3",0,0
"BRAP","UBC",0,0
"BRD1","BRPF1",0,0
"BRD1","MTA2",0,0
"BRD1","CHD4",0,0
"BRD1","HDAC1",0,0
"BRD1","CHD3",0,0
"BRD7","SMARCA4",0,0
"BRD8","CDC5L",0,0
"BRD8","EPC1",0,0
"BRD8","NFRKB",0,0
"BRD8","ACTR8",0,0
"BRD8","INO80",0,0
"BRPF1","HIST1H3B",0,0
"BRWD1","STAT5A",0,0
"BUB1","TOP2A",0,0
"BUB1","UBR5",0,0
"BUB3","CLIP1",0,0
"C1GALT1","GALNT6",0,0
"C3","ITGAM",0,0
"C3","CR2",0,0
"C3","CR1",0,0
"C3AR1","ITGAM",0,0
"C5","OPRM1",0.02,0
"C5","PDYN",0,0
"C5","HTR1A",0,0
"C5","OXER1",0,0
"C5","NPY1R",0,0
"C5","CCR1",0,0
"C5","GRM3",0,0
"C5","NPBWR1",0,0
"C5","HTR1F",0,0
"C5","CCR2",0,0
"C5","RXFP3",0,0
"C5","C7",0,0
"C5","ADCY8",0,0
"C5","ADCY9",0,0
"C5","HTR1D",0,0
"C5","ADCY3",0,0
"C5","PTGER3",0,0
"C5","ADORA1",0,0
"C5","C5AR1",0,0
"C5","GABBR1",0,0
"C5","GRM4",0,0
"C5","ADRA2B",0,0
"C5","CX3CR1",0,0
"C5","ADCY5",0,0
"C5","ADCY1",0,0
"C5","GRM8",0,0
"C5","HTR1B",0,0
"C5","C2",0,0
"C5","GRM7",0,0
"C5","DRD2",0,0
"C5","GABBR2",0,0
