"label","mRNA","methy","GNNExplainer"
"ABAT","7.76480007171631","-0.183300003409386",0.15
"ABCA1","10.8542995452881","0.112199999392033",0.15
"ABCB1","5.8769998550415","0.24040000140667",0.14
"ABCB4","3.3970000743866","-0.441700011491776",0.14
"ABI1","10.213399887085","-0.467599987983704",0.14
"ABL1","10.7981004714966","0.439000010490417",0.15
"ABL2","10.2201995849609","0.341699987649918",0.15
"ACACA","8.73320007324219","0.373600006103516",0.14
"ACACB","9.67720031738281","-0.177100002765656",0.13
"ACAN","10.6817998886108","-0.00439999997615814",0.14
"ACIN1","11.6590003967285","-0.474299997091293",0.14
"ACLY","12.9847002029419","0.0644999966025352",0.16
"ACO1","10.4549999237061","-0.485100001096725",0.15
"ACO2","11.9962997436523","-0.161500006914139",0.14
"ACOT4","8.85359954833984","-0.456499993801117",0.15
"ACOX1","10.3088998794556","-0.425999999046326",0.14
"ACOX2","6.78620004653931","-0.140400007367134",0.14
"ACOX3","7.64860010147095","0.435099989175797",0.16
"ACSF3","8.37709999084473","-0.172499999403954",0.13
"ACSS3","8.27890014648438","-0.179499998688698",0.15
"ACTA1","1.4235999584198","-0.386500000953674",0.14
"ACTB","16.5013008117676","0.203400000929832",0.15
"ACTG1","15.8114995956421","0.0375999994575977",0.13
"ACTL6B","0","-0.397899985313416",0.14
"ACTN1","12.5510997772217","-0.0690999999642372",0.14
"ACTN2","2.72429990768433","-0.398999989032745",0.15
"ACTN3","0","0.106700003147125",0.15
"ACTN4","13.6208000183105","0.427100002765656",0.12
"ACTR1A","11.5740003585815","0.36939999461174",0.15
"ACTR3B","7.08920001983643","-0.411199986934662",0.12
"ACTR8","7.92320013046265","-0.461800009012222",0.16
"ACVR1C","2.95050001144409","0.418300002813339",0.13
"ADAM12","4.96740007400513","0.402399986982346",0.14
"ADAM15","9.92710018157959","0.0518999993801117",0.15
"ADAM28","8.21770000457764","0.220799997448921",0.14
"ADAMTS5","9.38459968566895","0.367399990558624",0.15
"ADAR","12.6410999298096","-0.409299999475479",0.14
"ADCY1","5.63789987564087","-0.412099987268448",0.16
"ADCY2","2.72429990768433","-0.141000002622604",0.14
"ADCY3","10.4722995758057","0.317200005054474",0.14
"ADCY5","10.1767997741699","-0.38850000500679",0.14
"ADCY7","9.01550006866455","0.250600010156631",0.14
"ADCY8","1.69749999046326","0.11089999973774",0.15
"ADCY9","10.1183004379272","-0.365299999713898",0.14
"ADCYAP1R1","0","-0.40599998831749",0.15
"ADNP","10.6679000854492","-0.479699999094009",0.13
"ADORA1","4.36670017242432","-0.0368000008165836",0.16
"ADRA1A","3.79699993133545","0.322100013494492",0.15
"ADRA2B","7.87230014801025","0.324299991130829",0.15
"AEBP2","10.1570997238159","-0.44980001449585",0.13
"AFF4","11.4496002197266","0.0236000008881092",0.15
"AGAP2","6.92049980163574","0.300500005483627",0.14
"AGK","9.09759998321533","-0.157900005578995",0.16
"AGL","9.29469966888428","-0.241099998354912",0.14
"AGRN","13.0525999069214","0.0828000009059906",0.15
"AGT","10.0125999450684","0.322400003671646",0.14
"AGTR1","8.90509986877441","-0.136899992823601",0.14
"AKAP9","10.4123001098633","-0.48759999871254",0.14
"AKT2","11.0080003738403","0.390899986028671",0.14
"AKT3","10.692099571228","0.213899999856949",0.16
"ALDH1A3","8.08290004730225","0.44080001115799",0.14
"ALDH3A1","3.85400009155273","-0.348399996757507",0.14
"ALDH3A2","11.4437999725342","0.444999992847443",0.13
"ALDOA","15.3646001815796","-0.234500005841255",0.13
"ALDOB","7.93650007247925","0.390899986028671",0.15
"ALK","1.69749999046326","-0.481200009584427",0.15
"AMBN","0","0.0491999983787537",0.15
"AMDHD1","6.82950019836426","-0.455799996852875",0.14
"ANAPC4","9.22200012207031","-0.363900005817413",0.13
"ANGPT4","2.59640002250671","-0.145699992775917",0.13
"ANGPTL3","4.06209993362427","0.412699997425079",0.12
"ANK1","9.39430046081543","-0.304100006818771",0.14
"ANK2","8.3173999786377","0.226600006222725",0.15
"ANK3","9.65130043029785","-0.0920000001788139",0.13
"ANLN","4.94140005111694","0.433899998664856",0.15
"ANO1","11.0153999328613","0.170900002121925",0.14
"ANO6","11.4412002563477","0.440400004386902",0.14
"AOC2","5.67000007629395","0.272100001573563",0.14
"AOX1","9.93369960784912","-0.221200004220009",0.13
"AP1B1","11.0012998580933","0.350100010633469",0.14
"AP1G1","11.2020998001099","-0.353899985551834",0.15
"AP1G2","10.318699836731","-0.435499995946884",0.13
"AP2A1","10.8529996871948","0.38170000910759",0.13
"AP2A2","10.8049001693726","0.0860000029206276",0.15
"AP2B1","11.9748001098633","-0.411700010299683",0.14
"AP3B1","10.1513996124268","-0.243100002408028",0.14
"AP4E1","8.32499980926514","0.434300005435944",0.13
"AP4M1","8.38729953765869","0.335900008678436",0.12
"APAF1","9.16959953308105","-0.483300000429153",0.14
"APBB1IP","10.3273000717163","-0.390899986028671",0.14
"APC","9.605299949646","-0.433800011873245",0.14
"APEX1","11.4338998794556","-0.458299994468689",0.13
"APLP2","13.3306999206543","0.0105999996885657",0.14
"APOA1","0.642400026321411","-0.472600013017654",0.14
"APOA5","0","0.250800013542175",0.14
"APOB","5.71689987182617","0.00329999998211861",0.14
"APP","14.8950004577637","0.383100003004074",0.13
"AQR","9.5064001083374","-0.480399996042252",0.15
"ARAP1","10.9469003677368","0.30689999461174",0.14
"ARAP2","9.44620037078857","-0.409099996089935",0.14
"ARHGAP12","9.22200012207031","-0.296200007200241",0.15
"ARHGAP21","10.5691003799438","-0.101599998772144",0.13
"ARHGAP29","11.9984998703003","0.328700006008148",0.14
"ARHGAP30","9.29339981079102","0.178599998354912",0.15
"ARHGAP5","11.1606998443604","-0.463499993085861",0.13
"ARHGAP9","8.39640045166016","0.328599989414215",0.15
"ARHGEF1","11.2211999893188","0.314399987459183",0.13
"ARHGEF10L","10.5766000747681","-0.10639999806881",0.14
"ARHGEF11","9.98169994354248","0.421400010585785",0.16
"ARHGEF12","12.6356000900269","-0.37389999628067",0.12
"ARHGEF15","9.74670028686523","0.307300001382828",0.16
"ARHGEF17","11.8894996643066","0.253500014543533",0.13
"ARHGEF4","1.69749999046326","0.112199999392033",0.16
"ARHGEF5","8.07489967346191","-0.292499989271164",0.13
