"label","id","rel_pos","TCGA.OR.A5J1","TCGA.OR.A5J2","TCGA.OR.A5J3","TCGA.OR.A5J5","TCGA.OR.A5J6","TCGA.OR.A5J7","TCGA.OR.A5J8","TCGA.OR.A5J9","TCGA.OR.A5JA","TCGA.OR.A5JB","TCGA.OR.A5JC","TCGA.OR.A5JD","TCGA.OR.A5JE","TCGA.OR.A5JF","TCGA.OR.A5JG","TCGA.OR.A5JI","TCGA.OR.A5JJ","TCGA.OR.A5JK","TCGA.OR.A5JL","TCGA.OR.A5JM","TCGA.OR.A5JO","TCGA.OR.A5JP","TCGA.OR.A5JQ","TCGA.OR.A5JR","TCGA.OR.A5JS","TCGA.OR.A5JT","TCGA.OR.A5JV","TCGA.OR.A5JW","TCGA.OR.A5JX","TCGA.OR.A5JY","TCGA.OR.A5JZ","TCGA.OR.A5K0","TCGA.OR.A5K1","TCGA.OR.A5K2","TCGA.OR.A5K3","TCGA.OR.A5K4","TCGA.OR.A5K5","TCGA.OR.A5K6","TCGA.OR.A5K8","TCGA.OR.A5K9","TCGA.OR.A5KO","TCGA.OR.A5KT","TCGA.OR.A5KU","TCGA.OR.A5KV","TCGA.OR.A5KW","TCGA.OR.A5KX","TCGA.OR.A5KY","TCGA.OR.A5KZ","TCGA.OR.A5L3","TCGA.OR.A5L4","TCGA.OR.A5L5","TCGA.OR.A5L6","TCGA.OR.A5L8","TCGA.OR.A5L9","TCGA.OR.A5LA","TCGA.OR.A5LB","TCGA.OR.A5LC","TCGA.OR.A5LD","TCGA.OR.A5LE","TCGA.OR.A5LG","TCGA.OR.A5LH","TCGA.OR.A5LJ","TCGA.OR.A5LK","TCGA.OR.A5LL","TCGA.OR.A5LM","TCGA.OR.A5LN","TCGA.OR.A5LO","TCGA.OR.A5LP","TCGA.OR.A5LR","TCGA.OR.A5LS","TCGA.OR.A5LT","TCGA.OU.A5PI","TCGA.P6.A5OF","TCGA.P6.A5OG","TCGA.PA.A5YG","TCGA.PK.A5H8","TCGA.PK.A5H9","TCGA.PK.A5HA","TCGA.PK.A5HB"
"ABCC2","9606.ENSP00000359478",27.96,2.2758,2.4407,4.2307,7.395,3.23,5.0999,5.2276,3.025,2.0605,3.1732,7.6492,4.6595,2.1354,5.206,3.2628,5.1002,3.102,3.7229,4.4061,4.1193,6.2178,3.5825,2.3165,2.7298,3.6824,2.1098,3.5733,6.3911,6.0271,7.4603,3.4693,1.3705,1.4094,0,2.6263,5.2471,1.721,2.1807,4.7615,3.9553,4.5251,1.5493,5.1451,1.109,2.9031,3.1124,2.4402,1.7758,2.9442,1.2742,3.9769,8.2019,3.4563,2.6727,0,3.9057,4.1112,1.2369,3.067,2.4725,3.2926,4.8423,4.296,4.9776,3.5614,5.6642,4.5301,4.0762,2.59,5.4492,5.6034,3.8189,4.9412,3.5652,3.2206,3.9417,9.3374,4.2624,6.0169
"ANKRD28","9606.ENSP00000382379",0.64,9.1045,10.6774,9.7213,9.0997,9.7677,9.955,9.5393,8.9413,8.8808,8.9902,8.7345,9.9019,9.1317,9.2089,8.7093,9.4269,9.0358,8.5111,9.4121,10.148,9.3692,9.1238,9.9691,9.8481,9.9873,9.3381,9.6819,9.6604,8.9272,10.2747,9.575,10.6413,8.5066,9.234,8.978,8.9983,8.9305,9.6477,8.6443,9.0571,8.9151,9.5811,8.7634,8.4449,8.8988,9.7206,8.6112,9.1884,9.4296,9.0978,8.8853,8.8998,9.6422,8.8221,8.8585,9.172,8.6114,8.3812,9.7952,9.1086,9.518,10.64,9.9251,9.8014,8.6725,9.3148,9.4476,9.3957,8.9159,9.7059,9.2341,9.2618,8.8422,10.7326,9.4796,8.7423,9.4922,9.6445,9.0029
"AP1G2","9606.ENSP00000312442",23.93,11.1578,9.1526,7.2837,11.7977,9.442,10.0003,7.9488,11.5553,10.2157,9.1822,9.3021,9.775,9.3937,9.0494,7.0499,9.247,10.3229,9.9889,9.5802,10.666,9.4562,9.3263,9.1351,9.6086,9.6222,10.3134,9.6661,6.2867,10.9643,9.8511,9.5682,9.6009,8.968,10.243,8.0436,9.2887,10.083,10.3979,7.9527,10.3173,10.6046,9.6559,9.1903,9.7363,9.3122,12.0261,9.3514,10.0533,9.9301,7.7835,9.786,11.008,9.6091,10.5163,10.178,7.2925,10.4683,9.4244,10.1786,9.8019,9.8134,10.1606,9.7309,6.6839,9.6075,9.9739,7.3458,8.7684,9.4409,9.1143,8.9182,7.9123,11.2946,10.2105,9.252,10.8301,9.6881,10.2091,6.2803
"ARL5B","9606.ENSP00000366487",66.12,6.9312,8.7967,6.6085,7.241,5.306,9.2333,5.4074,8.5336,7.3834,6.863,7.1194,6.5428,6.4518,7.0263,7.3323,6.6436,5.7929,7.5537,6.6792,8.9065,5.9669,8.4445,6.0068,6.7365,8.1001,6.47,7.3395,7.939,7.7132,7.3217,7.3297,6.0213,5.7768,7.8285,6.8757,6.332,6.9766,6.0136,6.7211,8.7766,8.5122,5.233,5.7962,6.3775,7.2084,5.7818,7.6645,8.5782,6.2223,7.0775,5.6794,6.313,7.4312,5.4598,5.8304,7.8421,7.403,7.9928,6.1645,6.4654,5.8338,7.5175,6.4779,8.2407,6.7926,5.562,8.8542,7.2538,6.238,9.2547,6.308,7.6762,8.3313,7.5058,7.232,6.903,7.3633,6.3485,8.9348
"ARSG","9606.ENSP00000407193",60.87,3.34,7.2478,5.649,5.3942,7.0541,5.1166,4.9073,6.3915,4.9354,6.5836,6.7187,9.3808,4.8437,5.813,3.9043,7.183,6.7621,6.0574,6.411,3.2,6.6871,4.0331,6.7455,7.2673,3.1921,7.1175,7.9307,6.1977,6.9645,7.3217,6.6007,5.4876,3.9915,7.7144,7.9622,7.2074,4.1696,4.335,4.8367,4.752,7.3206,5.1956,4.2434,6.3505,3.1859,6.1839,4.6126,4.4334,4.3984,8.0948,7.1208,5.331,7.2838,5.4598,4.9204,6.2841,3.2956,2.6842,3.7334,4.9556,7.4446,6.5795,6.84,4.9218,5.7663,6.3357,8.7946,7.6359,7.3294,7.7029,8.637,5.9935,7.7185,6.3042,6.5885,7.7456,6.7284,8.2091,4.821
"ATP1B2","9606.ENSP00000250111",85.77,9.4178,9.9645,5.2378,11.3953,6.3284,6.5432,7.6373,8.9151,6.9249,5.0863,6.3871,9.1553,6.8487,8.313,3.9043,8.3677,10.0184,8.6789,6.395,7.3907,6.4404,6.7393,7.8122,6.9433,8.4537,9.8568,4.9595,4.9466,10.0107,6.9191,5.1398,7.6981,10.8917,6.3909,6.1203,5.9162,9.4571,8.7686,5.6538,7.6798,5.5808,7.0446,6.4911,12.5603,4.9654,6.2579,8.3719,8.919,9.3966,7.4495,8.2381,7.5395,10.2145,8.9993,10.361,7.4922,10.2261,10.8984,7.1419,10.4268,7.0996,7.4443,6.1394,7.1083,7.2277,7.7781,7.76,6.7084,9.0102,9.0169,5.1983,10.4035,8.1385,7.2131,8.1979,5.7739,7.7239,6.2157,7.4381
"BARHL2","9606.ENSP00000359474",34.44,0.5659,0,0,1.35,0,0,0,0.7485,0,0,0.7103,0,0,0,0,0,0,0,0,0.517,0,0.5253,0,0,0,0,0,0,0,0,0,0,0,0.8982,0,2.2992,0,0,0,0,0,0,0,2.3902,0,0,0,0,0,0,0,0,0,0,0,1.2623,0,0,0,0,0.9458,0,0,0,0.6783,0,0.5661,0,0,0,0,1.4385,0,0,0,0,0,0,0.4865
"BEST4","9606.ENSP00000361281",15.8,4.5591,2.5439,5.941,3.1286,4.1957,3.4631,1.9638,5.0574,5.7928,2.5611,2.7496,2.2144,5.4403,3.5622,5.0316,2.2328,3.1751,2.6643,3.0903,4.41,3.4929,4.2484,1.921,0.5553,3.2493,0.9616,0.6033,2.4297,5.0348,5.5447,0,3.7177,1.4094,6.5187,2.6263,3.0502,4.3099,4.7412,1.2936,3.9956,4.9754,5.3398,3.7769,3.1232,2.795,4.5525,6.2613,3.2456,6.3061,0,1.3997,2.2444,2.0677,2.6727,0,3.0807,3.8648,2.3422,4.8724,1.7115,3.851,2.5931,0,5.0314,2.2023,3.3574,4.3717,0.9119,2.1201,3.7944,2.964,1.4385,3.3212,3.5114,0.5482,4.7673,1.7835,1.4081,0.8495
"C9orf117","9606.ENSP00000362392",35.45,1.2874,2.0776,2.3639,4.5523,3.7922,4.8816,2.5785,2.4382,5.2874,1.4763,1.5402,2.3917,3.0623,3.6971,3.5544,1.511,4.3978,2.2672,5.3386,3.2661,1.0564,3.2241,2.0652,4.2713,2.8658,4.8076,5.4961,3.6834,2.47,3.7591,4.4478,3.0703,3.9915,3.7107,6.725,7.915,3.0617,2.4707,4.0845,2.9253,5.0178,3.2736,1.319,2.4926,2.6781,3.8936,3.5392,1.7758,2.7182,3.3535,3.4371,3.816,2.0677,7.0227,3.6479,2.2418,3.796,4.8823,4.0867,1.7115,4.8239,3.4012,2.1342,0.6764,3.0363,1.1084,1.9572,1.8658,5.2727,3.3905,2.3928,2.3193,3.2036,2.0123,0.9446,5.2423,2.5571,1.4081,3.9481
"CAMK2G","9606.ENSP00000319060",17.86,9.9603,10.0993,9.1117,9.4884,8.2944,9.6169,9.3806,9.0322,9.0558,8.8369,8.9428,9.7281,8.4993,9.3186,8.5592,8.6461,8.3579,8.9387,9.1571,9.1003,8.6321,9.1541,8.9882,8.7517,8.7721,8.6332,8.9045,9.4155,8.8216,9.3471,8.6985,8.6421,8.3248,9.5152,8.0703,8.617,8.9386,8.8514,8.9582,8.404,8.2839,8.9961,8.3854,9.071,9.0327,8.6649,9.3649,8.4315,8.8962,8.5419,8.6007,8.358,9.3395,8.0172,8.0665,10.0388,8.919,7.0658,8.6621,8.1728,8.9929,10.0514,8.5067,9.2283,8.7769,8.8086,9.8208,8.8422,8.5052,10.2487,9.5062,9.9432,9.5491,9.7857,8.9746,8.6124,8.5617,9.1121,9.7174
