"from","to","id","confidence"
"9606.ENSP00000352463","9606.ENSP00000395733","b5421d7a-eade-11eb-ac79-0130365d7bd6",152
"9606.ENSP00000223369","9606.ENSP00000460380","b5446358-eade-11eb-ac79-0130365d7bd6",220
"9606.ENSP00000330382","9606.ENSP00000460380","b549e01f-eade-11eb-ac79-0130365d7bd6",211
"9606.ENSP00000366487","9606.ENSP00000460380","b54d5de4-eade-11eb-ac79-0130365d7bd6",157
"9606.ENSP00000381577","9606.ENSP00000460380","b54ebcbb-eade-11eb-ac79-0130365d7bd6",208
"9606.ENSP00000384109","9606.ENSP00000460380","b54ee3d1-eade-11eb-ac79-0130365d7bd6",198
"9606.ENSP00000326272","9606.ENSP00000306894","b55633c0-eade-11eb-ac79-0130365d7bd6",186
"9606.ENSP00000362390","9606.ENSP00000306894","b55852ea-eade-11eb-ac79-0130365d7bd6",195
"9606.ENSP00000363377","9606.ENSP00000306894","b55852f1-eade-11eb-ac79-0130365d7bd6",186
"9606.ENSP00000380153","9606.ENSP00000306894","b559b43a-eade-11eb-ac79-0130365d7bd6",167
"9606.ENSP00000380150","9606.ENSP00000325589","b55f5573-eade-11eb-ac79-0130365d7bd6",324
"9606.ENSP00000305810","9606.ENSP00000287020","b5632374-eade-11eb-ac79-0130365d7bd6",390
"9606.ENSP00000330382","9606.ENSP00000287020","b563e63e-eade-11eb-ac79-0130365d7bd6",168
"9606.ENSP00000434412","9606.ENSP00000287020","b5678ab8-eade-11eb-ac79-0130365d7bd6",158
"9606.ENSP00000250111","9606.ENSP00000330382","b56a4803-eade-11eb-ac79-0130365d7bd6",300
"9606.ENSP00000303550","9606.ENSP00000330382","b56e3f68-eade-11eb-ac79-0130365d7bd6",159
"9606.ENSP00000401678","9606.ENSP00000330382","b575b48a-eade-11eb-ac79-0130365d7bd6",192
"9606.ENSP00000264670","9606.ENSP00000247219","b57a6c07-eade-11eb-ac79-0130365d7bd6",196
"9606.ENSP00000284073","9606.ENSP00000247219","b57b2c43-eade-11eb-ac79-0130365d7bd6",150
"9606.ENSP00000326272","9606.ENSP00000247219","b57d4dc8-eade-11eb-ac79-0130365d7bd6",524
"9606.ENSP00000338624","9606.ENSP00000247219","b57de98f-eade-11eb-ac79-0130365d7bd6",250
"9606.ENSP00000369784","9606.ENSP00000247219","b58142ac-eade-11eb-ac79-0130365d7bd6",175
"9606.ENSP00000443017","9606.ENSP00000247219","b5844dd0-eade-11eb-ac79-0130365d7bd6",164
"9606.ENSP00000293771","9606.ENSP00000352463","b58b027b-eade-11eb-ac79-0130365d7bd6",174
